pokemon_id,move_id,learn_method,learn_level,generation,source,source_url
1,144,level-up,1,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,53,level-up,1,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,73,level-up,7,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,159,level-up,13,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,95,level-up,20,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,102,level-up,27,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,54,level-up,34,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,122,level-up,41,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,127,level-up,48,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,143,TM/HM,0,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,26,TM/HM,0,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,13,TM/HM,0,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
1,146,TM/HM,0,1,Supplied Gen-I learnset JSON,https://raw.githubusercontent.com/cRz-Shadows/Pokemon_Trainer_Tournament_Simulator/main/Data/UsefulDatasets/gen_1_pokemon_learnsets.json
